-0.42334,-0.42264,-1.2122,-1.2118
-0.42761,-0.42691,-1.208,-1.2076
-0.43187,-0.43117,-1.2037,-1.2034
-0.4361,-0.4354,-1.1995,-1.1991
-0.44034,-0.43964,-1.1952,-1.1949
-0.44459,-0.4439,-1.191,-1.1906
-0.44885,-0.44815,-1.1868,-1.1864
-0.45307,-0.45238,-1.1825,-1.1821
-0.45728,-0.4566,-1.1783,-1.1779
-0.46151,-0.46082,-1.174,-1.1736
-0.46579,-0.46511,-1.1698,-1.1694
-0.47003,-0.46935,-1.1655,-1.1652
-0.47425,-0.47357,-1.1613,-1.1609
-0.47852,-0.47784,-1.157,-1.1567
-0.48276,-0.48209,-1.1528,-1.1524
-0.48697,-0.4863,-1.1486,-1.1482
-0.4912,-0.49052,-1.1443,-1.144
-0.49546,-0.49479,-1.1401,-1.1397
-0.49973,-0.49906,-1.1359,-1.1355
-0.50394,-0.50327,-1.1316,-1.1312
-0.50819,-0.50753,-1.1274,-1.127
-0.51242,-0.51176,-1.1231,-1.1227
-0.51666,-0.516,-1.1189,-1.1185
-0.52088,-0.52022,-1.1146,-1.1142
-0.52514,-0.52448,-1.1104,-1.11
-0.52939,-0.52873,-1.1061,-1.1057
-0.53361,-0.53296,-1.1019,-1.1015
-0.53789,-0.53724,-1.0977,-1.0973
-0.54209,-0.54144,-1.0934,-1.093
-0.54636,-0.54571,-1.0892,-1.0888
-0.5506,-0.54996,-1.0849,-1.0845
-0.55482,-0.55418,-1.0806,-1.0802
-0.55903,-0.55838,-1.0764,-1.076
-0.56331,-0.56267,-1.0721,-1.0717
-0.56755,-0.56691,-1.0679,-1.0675
-0.57174,-0.5711,-1.0637,-1.0632
-0.57604,-0.57541,-1.0594,-1.059
-0.58031,-0.57968,-1.0552,-1.0548
-0.58452,-0.58389,-1.0509,-1.0505
-0.58877,-0.58814,-1.0467,-1.0463
-0.593,-0.59238,-1.0424,-1.042
-0.59728,-0.59666,-1.0382,-1.0378
-0.60146,-0.60084,-1.034,-1.0335
-0.60572,-0.6051,-1.0297,-1.0293
-0.60998,-0.60936,-1.0255,-1.025
-0.61419,-0.61357,-1.0212,-1.0208
-0.61844,-0.61783,-1.017,-1.0165
-0.62267,-0.62206,-1.0127,-1.0123
-0.62692,-0.62631,-1.0085,-1.0081
-0.63119,-0.63058,-1.0042,-1.0038
-0.63543,-0.63482,-0.99997,-0.99953
-0.63966,-0.63906,-0.99577,-0.99533
-0.64389,-0.64329,-0.99152,-0.99108
-0.64818,-0.64758,-0.98728,-0.98683
-0.65236,-0.65176,-0.98304,-0.98259
-0.65659,-0.65599,-0.9788,-0.97835
-0.66085,-0.66026,-0.97452,-0.97407
-0.66512,-0.66453,-0.97027,-0.96982
-0.66936,-0.66877,-0.96603,-0.96558
-0.67358,-0.673,-0.96179,-0.96134
-0.67785,-0.67726,-0.95754,-0.95708
-0.68205,-0.68146,-0.95328,-0.95282
-0.68631,-0.68573,-0.94907,-0.94861
-0.69056,-0.68998,-0.94481,-0.94435
-0.69478,-0.6942,-0.94057,-0.94011
-0.69897,-0.69839,-0.93632,-0.93585
